"extractedcombinelist..i..","COUNTYFP","Year","Yield","meanGPP","yieldgm","gpp_sum_8day"
28,"147",2010,6060,139.334277137414,679.2351,1114.67421709931
1,"001",2011,7400,134.020644911088,829.429,1072.16515928871
2,"003",2011,6280,159.247939778093,703.8938,1273.98351822474
3,"017",2011,6960,156.049642782479,780.1116,1248.39714225983
4,"031",2011,6920,125.666874805641,775.6282,1005.33499844513
5,"037",2011,6360,138.712539101426,712.8606,1109.70031281141
6,"041",2011,6910,152.760344684632,774.50735,1222.08275747705
7,"043",2011,6670,173.123270333624,747.60695,1384.98616266899
8,"055",2011,7150,120.09681784766,801.40775,960.77454278128
9,"067",2011,6350,109.900619875531,711.73975,879.204959004251
10,"069",2011,6850,128.595628626155,767.78225,1028.76502900924
11,"075",2011,6220,116.925339370489,697.1687,935.402714963909
12,"079",2011,6580,128.756326288899,737.5193,1030.05061031119
13,"085",2011,7340,128.495813027632,822.7039,1027.96650422106
14,"093",2011,6430,131.648827591362,720.70655,1053.19062073089
15,"095",2011,6750,120.093583430598,756.57375,960.748667444783
16,"107",2011,6490,124.663200753507,727.43165,997.305606028057
17,"111",2011,6850,141.527937090959,767.78225,1132.22349672767
18,"117",2011,7450,136.360374103384,835.03325,1090.88299282707
19,"121",2011,6250,134.357019683623,700.53125,1074.85615746899
20,"123",2011,7210,135.299163669891,808.13285,1082.39330935913
21,"145",2011,5930,126.281264717276,664.66405,1010.25011773821
22,"147",2011,6030,130.736622627272,675.87255,1045.89298101818
1,"001",2012,8060,221.275535286921,903.4051,1770.20428229537
2,"003",2012,6420,186.827359860638,719.5857,1494.6188788851
3,"017",2012,7110,166.106068794237,796.92435,1328.8485503539
4,"021",2012,7830,185.11535747928,877.62555,1480.92285983424
5,"031",2012,7510,167.611484112661,841.75835,1340.89187290129
6,"037",2012,7260,192.4502482741,813.7371,1539.6019861928
7,"041",2012,7680,179.996275088338,860.8128,1439.9702007067
8,"043",2012,7050,194.267777862975,790.19925,1554.1422229038
9,"045",2012,7050,125.700597684234,790.19925,1005.60478147387
10,"055",2012,7610,158.36167851264,852.96685,1266.89342810112
11,"067",2012,6950,172.336658875734,778.99075,1378.69327100588
12,"069",2012,7370,206.295081490935,826.06645,1650.36065192748
13,"075",2012,6960,169.322257595616,780.1116,1354.57806076492
14,"079",2012,7390,205.119395547527,828.30815,1640.95516438022
15,"085",2012,8080,178.204470917837,905.6468,1425.6357673427
16,"093",2012,7690,163.100615304842,861.93365,1304.80492243874
17,"095",2012,7140,208.865639502099,800.2869,1670.9251160168
18,"107",2012,7430,209.396969320882,832.79155,1675.17575456706
19,"111",2012,7500,185.324502643367,840.6375,1482.59602114694
20,"117",2012,8140,200.357976143463,912.3719,1602.8638091477
21,"121",2012,7020,174.344016203206,786.8367,1394.75212962565
22,"123",2012,7220,197.125431522239,809.2537,1577.00345217791
23,"147",2012,7350,185.283716870964,823.82475,1482.26973496771
1,"001",2013,8060,191.455817675489,903.4051,1531.64654140391
2,"017",2013,7450,155.501839773427,835.03325,1244.01471818742
3,"031",2013,7370,145.194105916884,826.06645,1161.55284733508
4,"037",2013,7810,149.054524066473,875.38385,1192.43619253178
5,"041",2013,7630,178.81631014013,855.20855,1430.53048112104
6,"055",2013,7500,127.881618085681,840.6375,1023.05294468545
7,"063",2013,7240,133.117967106556,811.4954,1064.94373685245
8,"067",2013,7090,129.494573350893,794.68265,1035.95658680714
9,"069",2013,7570,168.019166020925,848.48345,1344.1533281674
10,"075",2013,6910,127.368293094373,774.50735,1018.94634475499
11,"077",2013,7810,170.210872933851,875.38385,1361.68698347081
12,"079",2013,7560,170.088402806041,847.3626,1360.70722244833
13,"085",2013,7910,162.918303712695,886.59235,1303.34642970156
14,"093",2013,7660,128.818012736221,858.5711,1030.54410188977
15,"095",2013,7650,156.485481507278,857.45025,1251.88385205823
16,"107",2013,7300,175.47820837952,818.2205,1403.82566703616
17,"111",2013,7800,154.434042898974,874.263,1235.47234319179
18,"117",2013,8000,163.009238847898,896.68,1304.07391078318
19,"121",2013,7110,137.64219297812,796.92435,1101.13754382496
20,"147",2013,7530,145.235209602013,844.00005,1161.8816768161
1,"001",2014,8000,198.955944588544,896.68,1591.64755670835
2,"003",2014,7110,188.780909673503,796.92435,1510.24727738802
3,"017",2014,7420,175.767384975446,831.6707,1406.13907980357
4,"021",2014,8020,175.815840899727,898.9217,1406.52672719782
5,"031",2014,7480,169.374979429673,838.3958,1354.99983543738
6,"035",2014,7170,167.157245264591,803.64945,1337.25796211673
7,"037",2014,7930,173.410845253295,888.83405,1387.28676202636
8,"041",2014,7490,183.914073228067,839.51665,1471.31258582454
9,"043",2014,7380,187.624155050903,827.1873,1500.99324040722
10,"055",2014,7540,176.46707123197,845.1209,1411.73656985576
11,"063",2014,7570,152.615773091509,848.48345,1220.92618473207
12,"067",2014,7450,156.399737423937,835.03325,1251.19789939149
13,"069",2014,7500,191.450731045316,840.6375,1531.60584836253
14,"075",2014,6700,166.367004905728,750.9695,1330.93603924582
15,"077",2014,7580,183.651556079339,849.6043,1469.21244863472
16,"079",2014,7580,184.620880924322,849.6043,1476.96704739458
17,"085",2014,7880,187.149693454858,883.2298,1497.19754763887
18,"093",2014,8160,176.57529119746,914.6136,1412.60232957968
19,"095",2014,7290,174.245360921108,817.09965,1393.96288736887
20,"107",2014,7020,189.674377816353,786.8367,1517.39502253082
21,"111",2014,7960,183.866047271579,892.1966,1470.92837817263
22,"117",2014,7730,186.063811442609,866.41705,1488.51049154088
23,"121",2014,7360,183.941999360053,824.9456,1471.53599488043
24,"123",2014,7220,164.269693454469,809.2537,1314.15754763575
25,"145",2014,6930,163.921280986476,776.74905,1311.37024789181
26,"147",2014,7260,161.830448057009,813.7371,1294.64358445607
1,"001",2015,7960,152.773351032475,892.1966,1222.1868082598
2,"003",2015,6980,185.825608869287,782.3533,1486.60487095429
3,"017",2015,7600,160.519493175355,851.846,1284.15594540284
4,"021",2015,7840,162.696317492398,878.7464,1301.57053993918
5,"031",2015,7300,150.509822270666,818.2205,1204.07857816532
6,"035",2015,7920,135.385674364582,887.7132,1083.08539491665
7,"037",2015,7240,149.185440883391,811.4954,1193.48352706713
8,"041",2015,7370,155.31900574496,826.06645,1242.55204595968
9,"043",2015,7540,183.664367609339,845.1209,1469.31494087471
10,"045",2015,5200,105.23936953906,582.842,841.91495631248
11,"055",2015,7530,142.879787854794,844.00005,1143.03830283836
12,"063",2015,7120,158.810972280801,798.0452,1270.48777824641
13,"067",2015,7050,136.767173698829,790.19925,1094.13738959063
14,"069",2015,7430,140.153668406498,832.79155,1121.22934725199
15,"075",2015,6740,135.862318056559,755.4529,1086.89854445248
16,"077",2015,6650,144.403961052308,745.36525,1155.23168841847
17,"079",2015,7580,158.476294033483,849.6043,1267.81035226786
18,"085",2015,7700,137.080810503597,863.0545,1096.64648402877
19,"093",2015,7560,137.976766281701,847.3626,1103.81413025361
20,"095",2015,7190,137.885187938967,805.89115,1103.08150351174
21,"107",2015,7060,145.083195560656,791.3201,1160.66556448525
22,"111",2015,7190,144.819968461645,805.89115,1158.55974769316
23,"117",2015,7540,143.949444073047,845.1209,1151.59555258438
24,"121",2015,6770,162.011470618224,758.81545,1296.09176494579
25,"123",2015,7030,153.839401141039,787.95755,1230.71520912831
26,"145",2015,6880,142.461571404654,771.1448,1139.69257123723
27,"147",2015,6810,137.916599997017,763.29885,1103.33279997614
1,"001",2016,7760,185.088390848492,869.7796,1480.70712678793
2,"003",2016,7190,177.919897338858,805.89115,1423.35917871087
3,"017",2016,7080,166.840345809602,793.5618,1334.72276647682
4,"021",2016,7290,169.28716211114,817.09965,1354.29729688912
5,"031",2016,6800,155.717266621686,762.178,1245.73813297349
6,"037",2016,6710,176.490000991056,752.09035,1411.92000792845
7,"041",2016,6380,172.694232941576,715.1023,1381.55386353261
8,"043",2016,6830,179.427273680692,765.54055,1435.41818944553
9,"045",2016,5810,157.170147018071,651.21385,1257.36117614457
10,"055",2016,7200,164.189570452744,807.012,1313.51656362196
11,"063",2016,6000,147.708682085728,672.51,1181.66945668582
12,"067",2016,6310,152.44693875594,707.25635,1219.57551004752
13,"069",2016,7130,175.231883373299,799.16605,1401.85506698639
14,"075",2016,6660,156.29136307068,746.4861,1250.33090456544
15,"077",2016,6580,172.519804022536,737.5193,1380.15843218029
16,"079",2016,7410,179.681327290828,830.54985,1437.45061832662
17,"085",2016,7330,161.612722037114,821.58305,1292.90177629691
18,"093",2016,7060,174.978676939422,791.3201,1399.82941551538
19,"095",2016,6440,167.14136348881,721.8274,1337.13090791048
20,"111",2016,7020,175.008743224805,786.8367,1400.06994579844
21,"117",2016,7590,167.692384706199,850.72515,1341.53907764959
22,"121",2016,6770,157.481526169507,758.81545,1259.85220935605
23,"123",2016,6760,171.967519193832,757.6946,1375.74015355065
24,"145",2016,6570,151.368853149506,736.39845,1210.95082519605
25,"147",2016,6170,156.118668935488,691.56445,1248.9493514839
1,"001",2017,8040,205.597670041285,901.1634,1644.78136033028
2,"003",2017,7620,205.680864002379,854.0877,1645.44691201903
3,"017",2017,7440,198.994137974596,833.9124,1591.95310379677
4,"021",2017,8070,195.412293546331,904.52595,1563.29834837065
5,"031",2017,7280,176.557221906104,815.9788,1412.45777524883
6,"035",2017,7650,203.790732785573,857.45025,1630.32586228459
7,"037",2017,7250,184.817038233914,812.61625,1478.53630587132
8,"041",2017,7090,195.415970518261,794.68265,1563.32776414609
9,"043",2017,7100,202.462555337366,795.8035,1619.70044269893
10,"055",2017,7760,186.915740759388,869.7796,1495.32592607511
11,"063",2017,7600,172.928278877145,851.846,1383.42623101716
12,"067",2017,6940,170.794621146784,777.8699,1366.35696917427
13,"069",2017,7300,188.661951119357,818.2205,1509.29560895486
14,"075",2017,6980,173.025882414744,782.3533,1384.20705931795
15,"077",2017,7260,197.743704894892,813.7371,1581.94963915914
16,"079",2017,7320,191.458044601655,820.4622,1531.66435681324
17,"085",2017,7640,189.44468632436,856.3294,1515.55749059488
18,"093",2017,8150,179.308090227189,913.49275,1434.46472181751
19,"095",2017,7580,184.454041821344,849.6043,1475.63233457075
20,"107",2017,7690,210.341551236394,861.93365,1682.73240989115
21,"111",2017,7620,181.5447460842,854.0877,1452.3579686736
22,"117",2017,7800,195.613977442924,874.263,1564.91181954339
23,"121",2017,7240,169.964312233051,811.4954,1359.71449786441
24,"123",2017,7440,199.817293783472,833.9124,1598.53835026778
25,"145",2017,6850,171.691932834802,767.78225,1373.53546267841
26,"147",2017,7070,184.212959489764,792.44095,1473.70367591811
1,"001",2018,8050,185.65242102434,902.28425,1485.21936819472
2,"003",2018,7350,188.643850291688,823.82475,1509.1508023335
3,"017",2018,7740,168.67807674839,867.5379,1349.42461398712
4,"021",2018,7610,169.742361188287,852.96685,1357.9388895063
5,"031",2018,7500,155.429075048499,840.6375,1243.432600388
6,"037",2018,7300,187.293597002013,818.2205,1498.3487760161
7,"041",2018,7250,179.396744066181,812.61625,1435.17395252945
8,"043",2018,7530,186.589646881424,844.00005,1492.7171750514
9,"055",2018,7370,149.368366574573,826.06645,1194.94693259659
10,"067",2018,7000,164.870976721257,784.595,1318.96781377006
11,"069",2018,7330,181.494628074085,821.58305,1451.95702459268
12,"075",2018,7140,152.51527206428,800.2869,1220.12217651424
13,"079",2018,7600,187.76243353228,851.846,1502.09946825824
14,"085",2018,8080,169.349510763027,905.6468,1354.79608610422
15,"093",2018,8340,149.047311652495,934.7889,1192.37849321996
16,"095",2018,7500,172.447278082636,840.6375,1379.57822466109
17,"107",2018,7830,169.447376240578,877.62555,1355.57900992463
18,"111",2018,7180,185.632235945747,804.7703,1485.05788756597
19,"117",2018,8030,171.615756952856,900.04255,1372.92605562285
20,"123",2018,7710,177.066248958359,864.17535,1416.52999166688
21,"147",2018,7430,169.647631209287,832.79155,1357.1810496743
1,"001",2019,8140,177.884503607889,912.3719,1423.07602886311
2,"017",2019,7710,152.331455172711,864.17535,1218.65164138169
3,"021",2019,7840,137.803440708644,878.7464,1102.42752566916
4,"031",2019,7410,153.158475301137,830.54985,1225.2678024091
5,"037",2019,7240,173.84399397307,811.4954,1390.75195178456
6,"041",2019,6710,162.172114454999,752.09035,1297.37691563999
7,"055",2019,7660,131.854475622535,858.5711,1054.83580498028
8,"067",2019,7070,158.042800469819,792.44095,1264.34240375855
9,"069",2019,6980,153.909482959622,782.3533,1231.27586367698
10,"075",2019,7390,135.282547770628,828.30815,1082.26038216502
11,"079",2019,7600,154.541477144406,851.846,1236.33181715525
12,"085",2019,7950,160.470942078406,891.07575,1283.76753662725
13,"093",2019,7490,165.05687078211,839.51665,1320.45496625688
14,"095",2019,6990,167.571481346853,783.47415,1340.57185077483
15,"107",2019,7170,164.312141818986,803.64945,1314.49713455189
16,"111",2019,7620,165.923382558552,854.0877,1327.38706046842
17,"117",2019,7930,172.414909463785,888.83405,1379.31927571028
18,"121",2019,7290,145.492832885386,817.09965,1163.94266308309
19,"123",2019,7490,175.795555684048,839.51665,1406.36444547238
20,"147",2019,7220,172.993437188331,809.2537,1383.94749750665
1,"001",2020,7950,192.569334435696,891.07575,1540.55467548557
2,"017",2020,7620,177.342221819976,854.0877,1418.73777455981
3,"021",2020,7810,187.427830355529,875.38385,1499.42264284423
4,"031",2020,7510,157.014440156872,841.75835,1256.11552125498
5,"035",2020,7100,174.780142984406,795.8035,1398.24114387525
6,"037",2020,7270,171.04618047995,814.85795,1368.3694438396
7,"041",2020,7000,170.348863286316,784.595,1362.79090629053
8,"043",2020,7730,183.896049910488,866.41705,1471.1683992839
9,"045",2020,6550,142.528456093714,734.15675,1140.22764874971
10,"055",2020,7570,160.828942314676,848.48345,1286.63153851741
11,"063",2020,7780,161.152642905027,872.0213,1289.22114324021
12,"067",2020,7250,155.796788697764,812.61625,1246.37430958211
13,"069",2020,7400,179.257921388604,829.429,1434.06337110883
14,"075",2020,7280,146.86448322845,815.9788,1174.9158658276
15,"077",2020,7880,192.841478582609,883.2298,1542.73182866087
16,"079",2020,7610,174.398862701791,852.96685,1395.19090161433
17,"085",2020,7910,164.929902688089,886.59235,1319.43922150471
18,"093",2020,7080,157.463458416579,793.5618,1259.70766733263
19,"095",2020,7420,172.627042184207,831.6707,1381.01633747366
20,"107",2020,7570,176.229158777996,848.48345,1409.83327022397
21,"111",2020,7600,167.844710925061,851.846,1342.75768740049
22,"117",2020,8040,170.679182263485,901.1634,1365.43345810788
23,"121",2020,7240,171.388106152328,811.4954,1371.10484921863
24,"123",2020,7320,183.288258219352,820.4622,1466.30606575481
25,"147",2020,7450,163.256066945609,835.03325,1306.04853556487
